,precision,recall,f1-score,support
weighted avg,0.6306668113540783,0.6514032496307238,0.6297001757795317,2708.0
macro avg,0.1909203858742678,0.18057816426092652,0.17445493749942192,2708.0
micro avg,0.6737967914438503,0.6514032496307238,0.6624108148704468,2708.0
A2,0.7844827586206896,0.9054726368159204,0.8406466512702079,603.0
A1B1,0.7413333333333333,0.8938906752411575,0.8104956268221575,311.0
A4,0.7086092715231788,0.5815217391304348,0.6388059701492538,184.0
A1B1C1,0.6519337016574586,0.7763157894736842,0.7087087087087087,152.0
A3,0.7801418439716312,0.7801418439716312,0.7801418439716312,141.0
A2B2,0.46875,0.30927835051546393,0.37267080745341613,97.0
A1B1C1D1E1,0.9591836734693877,0.9690721649484536,0.9641025641025641,97.0
A6,0.4857142857142857,0.5483870967741935,0.5151515151515151,93.0
A1B1C1D1,0.6881720430107527,0.8311688311688312,0.7529411764705882,77.0
A3B3C3,0.6271186440677966,0.7115384615384616,0.6666666666666666,52.0
A3B3,0.6046511627906976,0.5531914893617021,0.5777777777777777,47.0
A1B1C1D1E1F1,0.9047619047619048,0.926829268292683,0.9156626506024096,41.0
A12,0.6875,0.3055555555555556,0.4230769230769231,36.0
A5,0.5897435897435898,0.6388888888888888,0.6133333333333333,36.0
A-1,0.71875,0.6571428571428571,0.6865671641791045,35.0
A2B2C2,0.4782608695652174,0.3235294117647059,0.38596491228070173,34.0
A3B3C3D3,0.7368421052631579,0.9333333333333333,0.8235294117647058,30.0
A8,0.3333333333333333,0.1111111111111111,0.16666666666666666,27.0
A2B1,0.29411764705882354,0.20833333333333334,0.24390243902439024,24.0
A4B4,0.4074074074074074,0.4782608695652174,0.44,23.0
A2B2C2D2,0.6666666666666666,0.47058823529411764,0.5517241379310345,17.0
A1B2,0.2727272727272727,0.2,0.23076923076923078,15.0
A24,0.875,0.9333333333333333,0.9032258064516129,15.0
A14,1.0,0.35714285714285715,0.5263157894736842,14.0
A60,1.0,0.46153846153846156,0.631578947368421,13.0
A10,1.0,0.07692307692307693,0.14285714285714285,13.0
A7,0.5555555555555556,0.7692307692307693,0.6451612903225806,13.0
A2B1C1,0.6,0.25,0.35294117647058826,12.0
A3B1,0.21428571428571427,0.5,0.3,12.0
A3B2C2,0.0,0.0,0.0,12.0
A12B12,0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0
A8B8,0.8,0.4,0.5333333333333333,10.0
A2B2C1,0.42857142857142855,0.3,0.35294117647058826,10.0
A4B1,0.0,0.0,0.0,10.0
A3B3C3D3E3F3,0.9090909090909091,1.0,0.9523809523809523,10.0
A4B2,0.0,0.0,0.0,9.0
A4B4C4,0.6666666666666666,0.4444444444444444,0.5333333333333333,9.0
A1B3,0.3333333333333333,0.4444444444444444,0.38095238095238093,9.0
A3B1C1,0.16666666666666666,0.25,0.2,8.0
A1B1C2,0.6666666666666666,0.25,0.36363636363636365,8.0
A2B1C1D1,0.6,0.375,0.46153846153846156,8.0
A18,0.0,0.0,0.0,8.0
A1B4,0.5,0.375,0.42857142857142855,8.0
A1B1C1D1E1F3,0.875,1.0,0.9333333333333333,7.0
A6B2,0.0,0.0,0.0,7.0
A3B2,0.0,0.0,0.0,7.0
A2B2C2D2E2,0.2857142857142857,0.3333333333333333,0.3076923076923077,6.0
A60B60C60,1.0,1.0,1.0,5.0
A4B4C4D4,0.4,0.4,0.4,5.0
A180,0.75,0.6,0.6666666666666666,5.0
A60B60C60D60,1.0,1.0,1.0,5.0
A6B6C6,0.0,0.0,0.0,5.0
A5B2,0.0,0.0,0.0,5.0
A7B7,0.3333333333333333,0.2,0.25,5.0
A2B2C1D1,0.75,0.6,0.6666666666666666,5.0
A1B2C1D1,0.5,0.2,0.2857142857142857,5.0
A11,0.0,0.0,0.0,4.0
A2B1C2D1E1F1,0.5,0.25,0.3333333333333333,4.0
A1B2C1,0.5,0.25,0.3333333333333333,4.0
A9,0.0,0.0,0.0,4.0
A3B3C1D1,0.0,0.0,0.0,4.0
A-1B-1,0.3333333333333333,0.5,0.4,4.0
A2B4,0.0,0.0,0.0,4.0
A1B1C1D2,0.2,0.25,0.2222222222222222,4.0
A6B1,0.0,0.0,0.0,4.0
A4B2C2,0.0,0.0,0.0,3.0
A12B10,0.0,0.0,0.0,3.0
A-1B-1C-1,0.0,0.0,0.0,3.0
A2B2C2D1,0.0,0.0,0.0,3.0
A1B5,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
A14B14,0.0,0.0,0.0,3.0
A20,0.0,0.0,0.0,3.0
A16,0.0,0.0,0.0,3.0
A3B3C3D3E3,0.375,1.0,0.5454545454545454,3.0
A1B1C3,0.0,0.0,0.0,2.0
A3B6,0.0,0.0,0.0,2.0
A12B12C12,0.0,0.0,0.0,2.0
A1B2C2,0.0,0.0,0.0,2.0
A3B3C3D1,0.0,0.0,0.0,2.0
A2B2C4,0.0,0.0,0.0,2.0
A4B4C4D4E4,0.0,0.0,0.0,2.0
A1B2C1D2,0.0,0.0,0.0,2.0
A6B3,0.0,0.0,0.0,2.0
A1B1C1D1E1F2,0.0,0.0,0.0,2.0
A6B12,0.0,0.0,0.0,2.0
A60B60,0.5,0.5,0.5,2.0
A7B1,1.0,0.5,0.6666666666666666,2.0
A2B3C2,0.0,0.0,0.0,2.0
A4B1C1,0.0,0.0,0.0,2.0
A1B1C12,1.0,1.0,1.0,2.0
A6B6,0.07142857142857142,0.5,0.125,2.0
A1B1C2D2,0.5,0.5,0.5,2.0
A2B5,0.0,0.0,0.0,2.0
A5B5,1.0,0.5,0.6666666666666666,2.0
A4B4C4D4E1,0.0,0.0,0.0,2.0
A1B2C2D1,0.0,0.0,0.0,2.0
A4B8,0.0,0.0,0.0,2.0
A1B3C1,0.0,0.0,0.0,2.0
A6B1C14,0.0,0.0,0.0,2.0
A3B3C8D7,0.0,0.0,0.0,1.0
A1B2C4D1E1,0.0,0.0,0.0,1.0
A6B6C6D6,0.0,0.0,0.0,1.0
A1B6,0.0,0.0,0.0,1.0
A12B6C6D6E12,0.0,0.0,0.0,1.0
A2B2C2D2E2F1,0.0,0.0,0.0,1.0
A-1B10,0.0,0.0,0.0,1.0
A3B9C2D1,0.0,0.0,0.0,1.0
A2B2C2D2E2F2,0.0,0.0,0.0,1.0
A-1B24,0.0,0.0,0.0,1.0
A3B6C6,0.0,0.0,0.0,1.0
A3B3C3D2,0.0,0.0,0.0,1.0
A9B3C3D3E3,0.0,0.0,0.0,1.0
A1B2C1D1E1F1,0.0,0.0,0.0,1.0
A1B3C3,0.0,0.0,0.0,1.0
A4B8C4,0.0,0.0,0.0,1.0
A18B16,0.0,0.0,0.0,1.0
A7B7C1,0.0,0.0,0.0,1.0
A-1B-1C-1D-1,0.0,0.0,0.0,1.0
A-1B12,0.0,0.0,0.0,1.0
A5B2C1,0.0,0.0,0.0,1.0
A2B1C1D1E1F4,0.0,0.0,0.0,1.0
