,precision,recall,f1-score,support
weighted avg,0.6151051654393668,0.6491875923190547,0.6190865897954337,2708.0
macro avg,0.18777180896206097,0.1741548505878797,0.16853434513295074,2708.0
micro avg,0.6681870011402509,0.6491875923190547,0.6585502903165387,2708.0
A2,0.7785714285714286,0.9038142620232172,0.8365310821181888,603.0
A1B1,0.7219387755102041,0.909967845659164,0.8051209103840683,311.0
A4,0.7066666666666667,0.5760869565217391,0.6347305389221557,184.0
A1B1C1,0.6408839779005525,0.7631578947368421,0.6966966966966966,152.0
A3,0.8248175182481752,0.8014184397163121,0.8129496402877698,141.0
A2B2,0.4810126582278481,0.3917525773195876,0.4318181818181818,97.0
A1B1C1D1E1,0.8962264150943396,0.979381443298969,0.9359605911330049,97.0
A6,0.42857142857142855,0.4838709677419355,0.45454545454545453,93.0
A1B1C1D1,0.7065217391304348,0.8441558441558441,0.7692307692307693,77.0
A3B3C3,0.42696629213483145,0.7307692307692307,0.5390070921985816,52.0
A3B3,0.6666666666666666,0.6382978723404256,0.6521739130434783,47.0
A1B1C1D1E1F1,0.7307692307692307,0.926829268292683,0.8172043010752689,41.0
A12,0.8235294117647058,0.3888888888888889,0.5283018867924528,36.0
A5,0.696969696969697,0.6388888888888888,0.6666666666666666,36.0
A-1,0.5454545454545454,0.34285714285714286,0.42105263157894735,35.0
A2B2C2,0.34615384615384615,0.2647058823529412,0.3,34.0
A3B3C3D3,0.7105263157894737,0.9,0.7941176470588235,30.0
A8,0.4166666666666667,0.18518518518518517,0.2564102564102564,27.0
A2B1,0.21428571428571427,0.125,0.15789473684210525,24.0
A4B4,0.5238095238095238,0.4782608695652174,0.5,23.0
A2B2C2D2,0.5,0.47058823529411764,0.48484848484848486,17.0
A1B2,0.4,0.13333333333333333,0.2,15.0
A24,0.75,1.0,0.8571428571428571,15.0
A14,1.0,0.07142857142857142,0.13333333333333333,14.0
A60,1.0,0.46153846153846156,0.631578947368421,13.0
A10,0.25,0.07692307692307693,0.11764705882352941,13.0
A7,0.35714285714285715,0.7692307692307693,0.4878048780487805,13.0
A2B1C1,0.3333333333333333,0.16666666666666666,0.2222222222222222,12.0
A3B1,0.4444444444444444,0.6666666666666666,0.5333333333333333,12.0
A3B2C2,0.0,0.0,0.0,12.0
A12B12,0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0
A8B8,0.625,0.5,0.5555555555555556,10.0
A2B2C1,0.5,0.1,0.16666666666666666,10.0
A4B1,0.0,0.0,0.0,10.0
A3B3C3D3E3F3,0.9090909090909091,1.0,0.9523809523809523,10.0
A4B2,0.0,0.0,0.0,9.0
A4B4C4,0.42857142857142855,0.3333333333333333,0.375,9.0
A1B3,0.5,0.6666666666666666,0.5714285714285714,9.0
A3B1C1,0.0,0.0,0.0,8.0
A1B1C2,0.5,0.25,0.3333333333333333,8.0
A2B1C1D1,0.7142857142857143,0.625,0.6666666666666666,8.0
A18,0.0,0.0,0.0,8.0
A1B4,0.5714285714285714,0.5,0.5333333333333333,8.0
A1B1C1D1E1F3,0.8,0.5714285714285714,0.6666666666666666,7.0
A6B2,0.0,0.0,0.0,7.0
A3B2,0.0,0.0,0.0,7.0
A2B2C2D2E2,0.4,0.3333333333333333,0.36363636363636365,6.0
A60B60C60,1.0,1.0,1.0,5.0
A4B4C4D4,0.0,0.0,0.0,5.0
A180,1.0,0.2,0.3333333333333333,5.0
A60B60C60D60,1.0,1.0,1.0,5.0
A6B6C6,0.0,0.0,0.0,5.0
A5B2,0.0,0.0,0.0,5.0
A7B7,0.2,0.2,0.2,5.0
A2B2C1D1,0.6,0.6,0.6,5.0
A1B2C1D1,1.0,0.2,0.3333333333333333,5.0
A11,0.5,0.25,0.3333333333333333,4.0
A2B1C2D1E1F1,0.0,0.0,0.0,4.0
A1B2C1,0.0,0.0,0.0,4.0
A9,0.0,0.0,0.0,4.0
A3B3C1D1,0.0,0.0,0.0,4.0
A-1B-1,1.0,0.5,0.6666666666666666,4.0
A2B4,0.3333333333333333,0.25,0.2857142857142857,4.0
A1B1C1D2,0.2,0.25,0.2222222222222222,4.0
A6B1,0.5,0.5,0.5,4.0
A4B2C2,0.0,0.0,0.0,3.0
A12B10,0.0,0.0,0.0,3.0
A-1B-1C-1,0.0,0.0,0.0,3.0
A2B2C2D1,0.0,0.0,0.0,3.0
A1B5,0.5,0.3333333333333333,0.4,3.0
A14B14,0.0,0.0,0.0,3.0
A20,0.0,0.0,0.0,3.0
A16,0.0,0.0,0.0,3.0
A3B3C3D3E3,0.5,1.0,0.6666666666666666,3.0
A1B1C3,1.0,0.5,0.6666666666666666,2.0
A3B6,0.0,0.0,0.0,2.0
A12B12C12,0.0,0.0,0.0,2.0
A1B2C2,0.0,0.0,0.0,2.0
A3B3C3D1,0.0,0.0,0.0,2.0
A2B2C4,0.0,0.0,0.0,2.0
A4B4C4D4E4,0.0,0.0,0.0,2.0
A1B2C1D2,0.0,0.0,0.0,2.0
A6B3,0.0,0.0,0.0,2.0
A1B1C1D1E1F2,0.0,0.0,0.0,2.0
A6B12,0.0,0.0,0.0,2.0
A60B60,0.0,0.0,0.0,2.0
A7B1,0.5,0.5,0.5,2.0
A2B3C2,0.0,0.0,0.0,2.0
A4B1C1,0.0,0.0,0.0,2.0
A1B1C12,0.0,0.0,0.0,2.0
A6B6,0.125,0.5,0.2,2.0
A1B1C2D2,0.0,0.0,0.0,2.0
A2B5,1.0,1.0,1.0,2.0
A5B5,1.0,0.5,0.6666666666666666,2.0
A4B4C4D4E1,0.0,0.0,0.0,2.0
A1B2C2D1,0.0,0.0,0.0,2.0
A4B8,0.0,0.0,0.0,2.0
A1B3C1,0.0,0.0,0.0,2.0
A6B1C14,0.0,0.0,0.0,2.0
A3B3C8D7,0.0,0.0,0.0,1.0
A1B2C4D1E1,0.0,0.0,0.0,1.0
A6B6C6D6,0.0,0.0,0.0,1.0
A1B6,0.0,0.0,0.0,1.0
A12B6C6D6E12,0.0,0.0,0.0,1.0
A2B2C2D2E2F1,0.0,0.0,0.0,1.0
A-1B10,0.0,0.0,0.0,1.0
A3B9C2D1,0.0,0.0,0.0,1.0
A2B2C2D2E2F2,0.0,0.0,0.0,1.0
A-1B24,0.0,0.0,0.0,1.0
A3B6C6,0.0,0.0,0.0,1.0
A3B3C3D2,0.0,0.0,0.0,1.0
A9B3C3D3E3,0.0,0.0,0.0,1.0
A1B2C1D1E1F1,0.0,0.0,0.0,1.0
A1B3C3,0.0,0.0,0.0,1.0
A4B8C4,0.0,0.0,0.0,1.0
A18B16,0.0,0.0,0.0,1.0
A7B7C1,0.0,0.0,0.0,1.0
A-1B-1C-1D-1,0.0,0.0,0.0,1.0
A-1B12,0.0,0.0,0.0,1.0
A5B2C1,1.0,1.0,1.0,1.0
A2B1C1D1E1F4,0.0,0.0,0.0,1.0
A2B1C2D1E2,0.0,0.0,0.0,1.0
A1B1C1D2E1F2,0.0,0.0,0.0,1.0
A3B3C3D1E1,0.0,0.0,0.0,1.0
A10B1,1.0,1.0,1.0,1.0
A7B2C1,0.0,0.0,0.0,1.0
A-1B3C6D3E3,0.0,0.0,0.0,1.0
A6B1C1,0.0,0.0,0.0,1.0
A2B2C3D3,0.0,0.0,0.0,1.0
A6B5,0.0,0.0,0.0,1.0
A1B2C1D1E1,0.0,0.0,0.0,1.0
A1B1C1D2E1F1,0.0,0.0,0.0,1.0
A1B1C2D1E1F2,0.0,0.0,0.0,1.0
A4B4C2D4,0.0,0.0,0.0,1.0
A60B-1,1.0,1.0,1.0,1.0
A3B4C4,0.0,0.0,0.0,1.0
A1B12C1D1E1,0.0,0.0,0.0,1.0
A3B5C3,0.0,0.0,0.0,1.0
A9B6,0.0,0.0,0.0,1.0
A2B2C2D3,0.0,0.0,0.0,1.0
A6B12C12D12E18F6,0.0,0.0,0.0,1.0
A11B11,0.0,0.0,0.0,1.0
A4B9,0.0,0.0,0.0,1.0
A2B2C3,0.0,0.0,0.0,1.0
A15,0.0,0.0,0.0,1.0
A5B8,0.0,0.0,0.0,1.0
A1B3C3D1E1,0.0,0.0,0.0,1.0
A18B24,0.0,0.0,0.0,1.0
A3B3C2D2,0.0,0.0,0.0,1.0
A4B6,0.0,0.0,0.0,1.0
A8B3,0.0,0.0,0.0,1.0
A1B1C1D1E2F1,0.0,0.0,0.0,1.0
A1B3C1D1,0.0,0.0,0.0,1.0
A12B2,0.0,0.0,0.0,1.0
A4B4C4D4E3,0.0,0.0,0.0,1.0
A3B3C2D1,0.0,0.0,0.0,1.0
A1B1C2D2E2,0.0,0.0,0.0,1.0
A3B2C2D2E2,0.0,0.0,0.0,1.0
A1B2C1D2E2,0.0,0.0,0.0,1.0
A180B180,0.0,0.0,0.0,1.0
A16B14,0.0,0.0,0.0,1.0
A11B3C5,0.0,0.0,0.0,1.0
