,precision,recall,f1-score,support
weighted avg,0.6382334885946932,0.6495568685376661,0.6341854480464181,2708.0
macro avg,0.2129984354878979,0.2151199345913048,0.20039839060520864,2708.0
micro avg,0.6683130699088146,0.6495568685376661,0.6588014981273408,2708.0
A2,0.7836676217765043,0.9071310116086235,0.8408916218293621,603.0
A1B1,0.7349726775956285,0.864951768488746,0.794682422451994,311.0
A4,0.6858974358974359,0.5815217391304348,0.6294117647058823,184.0
A1B1C1,0.6783625730994152,0.7631578947368421,0.718266253869969,152.0
A3,0.859375,0.7801418439716312,0.8178438661710037,141.0
A2B2,0.5238095238095238,0.4536082474226804,0.4861878453038674,97.0
A1B1C1D1E1,0.9595959595959596,0.979381443298969,0.9693877551020408,97.0
A6,0.4731182795698925,0.4731182795698925,0.4731182795698925,93.0
A1B1C1D1,0.6853932584269663,0.7922077922077922,0.7349397590361446,77.0
A3B3C3,0.6666666666666666,0.4230769230769231,0.5176470588235295,52.0
A3B3,0.8846153846153846,0.48936170212765956,0.6301369863013698,47.0
A1B1C1D1E1F1,0.8809523809523809,0.9024390243902439,0.891566265060241,41.0
A12,0.7727272727272727,0.4722222222222222,0.5862068965517241,36.0
A5,0.5681818181818182,0.6944444444444444,0.625,36.0
A-1,0.5357142857142857,0.42857142857142855,0.47619047619047616,35.0
A2B2C2,0.48,0.35294117647058826,0.4067796610169492,34.0
A3B3C3D3,0.75,0.9,0.8181818181818182,30.0
A8,0.5,0.18518518518518517,0.2702702702702703,27.0
A2B1,0.21739130434782608,0.20833333333333334,0.2127659574468085,24.0
A4B4,0.5789473684210527,0.4782608695652174,0.5238095238095238,23.0
A2B2C2D2,0.5,0.47058823529411764,0.48484848484848486,17.0
A1B2,0.16,0.26666666666666666,0.2,15.0
A24,0.8666666666666667,0.8666666666666667,0.8666666666666667,15.0
A14,0.8333333333333334,0.35714285714285715,0.5,14.0
A60,0.6363636363636364,0.5384615384615384,0.5833333333333334,13.0
A10,0.3333333333333333,0.07692307692307693,0.125,13.0
A7,0.6666666666666666,0.7692307692307693,0.7142857142857143,13.0
A2B1C1,0.2222222222222222,0.16666666666666666,0.19047619047619047,12.0
A3B1,0.125,0.25,0.16666666666666666,12.0
A3B2C2,0.0,0.0,0.0,12.0
A12B12,0.8333333333333334,0.45454545454545453,0.5882352941176471,11.0
A8B8,0.8,0.4,0.5333333333333333,10.0
A2B2C1,0.5714285714285714,0.4,0.47058823529411764,10.0
A4B1,0.0,0.0,0.0,10.0
A3B3C3D3E3F3,0.9090909090909091,1.0,0.9523809523809523,10.0
A4B2,0.0,0.0,0.0,9.0
A4B4C4,0.5,0.3333333333333333,0.4,9.0
A1B3,0.4,0.4444444444444444,0.42105263157894735,9.0
A3B1C1,0.13513513513513514,0.625,0.2222222222222222,8.0
A1B1C2,0.4,0.25,0.3076923076923077,8.0
A2B1C1D1,0.6,0.375,0.46153846153846156,8.0
A18,0.0,0.0,0.0,8.0
A1B4,0.7142857142857143,0.625,0.6666666666666666,8.0
A1B1C1D1E1F3,0.8333333333333334,0.7142857142857143,0.7692307692307693,7.0
A6B2,0.0,0.0,0.0,7.0
A3B2,0.0,0.0,0.0,7.0
A2B2C2D2E2,0.2857142857142857,0.3333333333333333,0.3076923076923077,6.0
A60B60C60,0.7142857142857143,1.0,0.8333333333333334,5.0
A4B4C4D4,0.6,0.6,0.6,5.0
A180,0.3333333333333333,0.6,0.42857142857142855,5.0
A60B60C60D60,1.0,1.0,1.0,5.0
A6B6C6,0.0,0.0,0.0,5.0
A5B2,0.0,0.0,0.0,5.0
A7B7,1.0,0.2,0.3333333333333333,5.0
A2B2C1D1,0.6,0.6,0.6,5.0
A1B2C1D1,0.5,0.2,0.2857142857142857,5.0
A11,0.5,0.25,0.3333333333333333,4.0
A2B1C2D1E1F1,0.8,1.0,0.8888888888888888,4.0
A1B2C1,0.0,0.0,0.0,4.0
A9,0.0,0.0,0.0,4.0
A3B3C1D1,0.0,0.0,0.0,4.0
A-1B-1,0.5,0.5,0.5,4.0
A2B4,0.5,0.25,0.3333333333333333,4.0
A1B1C1D2,1.0,0.75,0.8571428571428571,4.0
A6B1,0.42857142857142855,0.75,0.5454545454545454,4.0
A4B2C2,0.0,0.0,0.0,3.0
A12B10,0.0,0.0,0.0,3.0
A-1B-1C-1,0.0,0.0,0.0,3.0
A2B2C2D1,0.0,0.0,0.0,3.0
A1B5,0.2,0.3333333333333333,0.25,3.0
A14B14,1.0,0.3333333333333333,0.5,3.0
